Variable Number,Variable Name,Description,Data Type,Value Range,Units
1,subject,Subject ID that performed the activity for each window sample,char,[1-30],NA
2,tBodyAcc.mean.X,Mean time domain accelerometer body acceleration signal value in the X direction,float,[-1 - 1],Hz
3,tBodyAcc.mean.Y,Mean time domain accelerometer body acceleration signal value in the Y direction,float,[-1 - 1],Hz
4,tBodyAcc.mean.Z,Mean time domain accelerometer body acceleration signal value in the Z direction,float,[-1 - 1],Hz
5,tBodyAcc.std.X,Standard deviation of the time domain accelerometer body acceleration signal value in the X direction,float,[-1 - 1],Hz
6,tBodyAcc.std.Y,Standard deviation of the  time domain accelerometer body acceleration signal value in the Y direction,float,[-1 - 1],Hz
7,tBodyAcc.std.Z,Standard deviation of the time domain accelerometer body acceleration signal value in the Z direction,float,[-1 - 1],Hz
8,tGravityAcc.mean.X,Mean time domain accelerometer gravity acceleration signal value in the X direction,float,[-1 - 1],Hz
9,tGravityAcc.mean.Y,Mean time domain accelerometer gravity acceleration signal value in the Y direction,float,[-1 - 1],Hz
10,tGravityAcc.mean.Z,Mean time domain accelerometer gravity acceleration signal value in the Z direction,float,[-1 - 1],Hz
11,tGravityAcc.std.X,Standard deviation of the time domain accelerometer gravity acceleration signal value in the X direction,float,[-1 - 1],Hz
12,tGravityAcc.std.Y,Standard deviation of the  time domain accelerometer gravity acceleration signal value in the Y direction,float,[-1 - 1],Hz
13,tGravityAcc.std.Z,Standard deviation of the time domain accelerometer gravity acceleration signal value in the Z direction,float,[-1 - 1],Hz
14,tBodyAccJerk.mean.X,Mean time domain accelerometer body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
15,tBodyAccJerk.mean.Y,Mean time domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
16,tBodyAccJerk.mean.Z,Mean time domain accelerometer body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
17,tBodyAccJerk.std.X,Standard deviation of the  time domain accelerometer body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
18,tBodyAccJerk.std.Y,Standard deviation of the  time domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
19,tBodyAccJerk.std.Z,Standard deviation of the  time domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
20,tBodyGyro.mean.X,Mean time domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
21,tBodyGyro.mean.Y,Mean time domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
22,tBodyGyro.mean.Z,Mean time domain gyroscope body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
23,tBodyGyro.std.X,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
24,tBodyGyro.std.Y,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
25,tBodyGyro.std.Z,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
26,tBodyGyroJerk.mean.X,Mean time domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
27,tBodyGyroJerk.mean.Y,Mean time domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
28,tBodyGyroJerk.mean.Z,Mean time domain gyroscope body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
29,tBodyGyroJerk.std.X,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
30,tBodyGyroJerk.std.Y,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
31,tBodyGyroJerk.std.Z,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
32,tBodyAccMag.mean,Mean time domain accelerometer body acceleration  magnitude,float,[-1 - 1],Hz
33,tBodyAccMag.std,Standard deviation of the time domain accelerometer body acceleration magnitude,float,[-1 - 1],Hz
34,tGravityAccMag.mean,Mean time domain accelerometer gravity acceleration magnitude,float,[-1 - 1],Hz
35,tGravityAccMag.std,Standard deviation of the time domain accelerometer gravity acceleration magnitude,float,[-1 - 1],Hz
36,tBodyAccJerkMag.mean,Mean time domain accelerometer body acceleration jerk magnitude,float,[-1 - 1],Hz
37,tBodyAccJerkMag.std,Standard deviation time domain accelerometer body acceleration jerk magnitude,float,[-1 - 1],Hz
38,tBodyGyroMag.mean,Mean time domain gyroscope body acceleration magnitude,float,[-1 - 1],Hz
39,tBodyGyroMag.std,Standard deviation time domain gyroscope body acceleration magnitude,float,[-1 - 1],Hz
40,tBodyGyroJerkMag.mean,Mean time domain gyroscope body acceleration jerk signal magnitude,float,[-1 - 1],Hz
41,tBodyGyroJerkMag.std,Standard deviation of the  time domain gyroscope body acceleration jerk signal magnitude,float,[-1 - 1],Hz
42,fBodyAcc.mean.X,Mean frequency domain accelerometer body acceleration signal value in the X direction,float,[-1 - 1],Hz
43,fBodyAcc.mean.Y,Mean frequency domain accelerometer body acceleration signal value in the Y direction,float,[-1 - 1],Hz
44,fBodyAcc.mean.Z,Mean frequency domain accelerometer body acceleration signal value in the Z direction,float,[-1 - 1],Hz
45,fBodyAcc.std.X,Standard deviation of the frequency domain accelerometer body acceleration signal value in the X direction,float,[-1 - 1],Hz
46,fBodyAcc.std.Y,Standard deviation of the  frequency domain accelerometer body acceleration signal value in the Y direction,float,[-1 - 1],Hz
47,fBodyAcc.std.Z,Standard deviation of the frequency domain accelerometer body acceleration signal value in the Z direction,float,[-1 - 1],Hz
48,fBodyAcc.meanFreq.X,Weighted average of the frequency domain accelerometer body acceleration signal value in the X direction,float,[-1 - 1],Hz
49,fBodyAcc.meanFreq.Y,Weighted average of the frequency domain accelerometer body acceleration signal value in the Y direction,float,[-1 - 1],Hz
50,fBodyAcc.meanFreq.Z,Weighted average of the frequency domain accelerometer body acceleration signal value in the Z direction,float,[-1 - 1],Hz
51,fBodyAccJerk.mean.X,Mean frequency domain accelerometer body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
52,fBodyAccJerk.mean.Y,Mean frequency domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
53,fBodyAccJerk.mean.Z,Mean frequency domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
54,fBodyAccJerk.std.X,Standard deviation of the  time domain accelerometer body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
55,fBodyAccJerk.std.Y,Standard deviation of the  time domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
56,fBodyAccJerk.std.Z,Standard deviation of the  time domain accelerometer body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
57,fBodyAccJerk.meanFreq.X,Weighted average of the  frequency domain accelerometer body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
58,fBodyAccJerk.meanFreq.Y,Weighted average of the  frequency domain accelerometer body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
59,fBodyAccJerk.meanFreq.Z,Weighted average of the  frequency domain accelerometer body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
60,fBodyGyro.mean.X,Mean frequency domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
61,fBodyGyro.mean.Y,Mean frequency domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
62,fBodyGyro.mean.Z,Mean frequency domain gyroscope body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
63,fBodyGyro.std.X,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
64,fBodyGyro.std.Y,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
65,fBodyGyro.std.Z,Standard deviation of the  time domain gyroscope body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
66,fBodyGyro.meanFreq.X,Weighted average of the  frequency domain gyroscope body acceleration jerk signal value in the X direction,float,[-1 - 1],Hz
67,fBodyGyro.meanFreq.Y,Weighted average of the  frequency domain gyroscope body acceleration jerk signal value in the Y direction,float,[-1 - 1],Hz
68,fBodyGyro.meanFreq.Z,Weighted average of the  frequency domain gyroscope body acceleration jerk signal value in the Z direction,float,[-1 - 1],Hz
69,fBodyAccMag.mean,Mean frequency domain accelerometer body acceleration  magnitude,float,[-1 - 1],Hz
70,fBodyAccMag.std,Standard deviation of the frequency domain accelerometer body acceleration  magnitude,float,[-1 - 1],Hz
71,fBodyAccMag.meanFreq,Weighted average of the frequency domain accelerometer body acceleration  magnitude,float,[-1 - 1],Hz
72,fBodyBodyAccJerkMag.mean,Mean frequency domain accelerometer body acceleration jerk magnitude,float,[-1 - 1],Hz
73,fBodyBodyAccJerkMag.std,Standard deviation of the frequency domain accelerometer body acceleration jerk magnitude,float,[-1 - 1],Hz
74,fBodyBodyAccJerkMag.meanFreq,Weighted average of the frequency domain accelerometer body acceleration jerk magnitude,float,[-1 - 1],Hz
75,fBodyBodyGyroMag.mean,Mean frequency domain gyroscope body acceleration magnitude,float,[-1 - 1],Hz
76,fBodyBodyGyroMag.std,Standard deviation of the frequency domain gyroscope body acceleration magnitude,float,[-1 - 1],Hz
77,fBodyBodyGyroMag.meanFreq,Weighted average of the frequency domain gyroscope body acceleration magnitude,float,[-1 - 1],Hz
78,fBodyBodyGyroJerkMag.mean,Mean frequency domain gyroscope body acceleration jerk magnitude,float,[-1 - 1],Hz
79,fBodyBodyGyroJerkMag.std,Standard deviation of the frequency domain gyroscope body acceleration jerk magnitude,float,[-1 - 1],Hz
80,fBodyBodyGyroJerkMag.meanFreq,Weighted average of the frequency domain gyroscope body acceleration jerk magnitude,float,[-1 - 1],Hz
81,angletBodyAccMean.gravity,Mean angle between tBodyAccMean and gravityMean,float,[-1 - 1],Hz
82,angletBodyAccJerkMean.gravityMean,Mean angle between tBodyAccJerkMean and gravityMean,float,[-1 - 1],Hz
83,angletBodyGyroMean.gravityMean,Mean angle between tBodyGyroMean and gravityMean,float,[-1 - 1],Hz
84,angletBodyGyroJerkMean.gravityMean,Mean angle between tBodyGyroJerkMean and gravityMean,float,[-1 - 1],Hz
85,angleX.gravityMean,Mean gravityMean angle in the X direction,float,[-1 - 1],Hz
86,angleY.gravityMean,Mean gravityMean angle in the Y direction,float,[-1 - 1],Hz
87,angleZ.gravityMean,Mean gravityMean angle in the Z direction,float,[-1 - 1],Hz
88,activity,Activity label,factor,,NA
